GROUP_SET, GROUP_ID, GROUP_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, W_PCT, MIN, E_OFF_RATING, OFF_RATING, E_DEF_RATING, DEF_RATING, E_NET_RATING, NET_RATING, AST_PCT, AST_TO, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, E_PACE, PACE, PACE_PER40, POSS, PIE, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, OFF_RATING_RANK, DEF_RATING_RANK, NET_RATING_RANK, AST_PCT_RANK, AST_TO_RANK, AST_RATIO_RANK, OREB_PCT_RANK, DREB_PCT_RANK, REB_PCT_RANK, TM_TOV_PCT_RANK, EFG_PCT_RANK, TS_PCT_RANK, PIE_RANK,p1,p2,p3,p4,p5,p1_cluster,p2_cluster,p3_cluster,p4_cluster,p5_cluster
Lineups, -201145-203115-203932-203999-1628420-, J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris,1610612743,DEN,41,26,15,0.634,761.0,119.2,121.3,112.0,111.8,7.2,9.5,0.714,2.48,23.2,0.253,0.757,0.522,0.135,0.6,0.63,101.2,100.36,83.63,1589,0.558,3,7,17375,6906,1,5189,10198,6632,5213,1943,3454,6705,7252,6370,10452,5593,5677,6814,J. Green,W. Barton,A. Gordon,N. Jokic,M. Morris,2,3,3,1,3
Lineups, -101108-203109-1626164-1628969-1629028-, C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,1610612756,PHO,38,31,7,0.816,754.0,116.7,116.4,108.0,109.0,8.7,7.4,0.643,2.83,21.0,0.213,0.737,0.49,0.103,0.569,0.6,100.5,100.22,83.52,1577,0.548,5,1,17218,5852,2,5946,9822,6849,6601,1623,4419,7902,8158,9261,9045,6230,6504,7014,C. Paul,J. Crowder,D. Booker,M. Bridges,D. Ayton,1,0,1,3,5
Lineups, -201144-202711-203497-1626220-1628378-, M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,1610612762,UTA,42,29,13,0.69,666.0,118.2,117.1,109.5,110.5,8.8,6.7,0.578,1.74,17.6,0.266,0.725,0.51,0.138,0.59,0.621,100.5,100.54,83.78,1395,0.541,2,3,17365,6280,3,5713,10012,6892,7536,3565,6706,6620,8318,6570,10529,5726,5990,7177,M. Conley,B. Bogdanovic,R. Gobert,R. O'Neale,D. Mitchell,3,3,5,0,1
Lineups, -201143-203935-1627759-1628369-1629057-, A. Horford - M. Smart - J. Brown - J. Tatum - R. Williams III,1610612738,BOS,34,27,7,0.794,443.0,119.6,118.8,94.0,94.2,25.6,24.6,0.633,2.18,20.7,0.264,0.764,0.542,0.134,0.597,0.616,98.8,99.08,82.57,911,0.64,8,6,17218,5963,4,5559,6811,5242,6713,2172,4489,6625,7212,5935,10439,5608,6078,5394,A. Horford,M. Smart,J. Brown,J. Tatum,R. Williams III,5,3,1,1,0
Lineups, -201976-1626156-1626157-1629020-1630162-, P. Beverley - D. Russell - K. Towns - J. Vanderbilt - A. Edwards,1610612750,MIN,36,22,14,0.611,439.0,117.9,120.2,107.3,107.4,10.6,12.8,0.586,1.93,18.5,0.333,0.706,0.519,0.137,0.569,0.594,100.6,99.52,82.93,906,0.538,6,9,17371,6949,5,5245,9676,6308,7458,3367,6136,4591,8705,6434,10517,6238,6743,7262,P. Beverley,D. Russell,K. Towns,J. Vanderbilt,A. Edwards,3,1,1,5,3
Lineups, -202692-203095-203944-1629011-1629628-, A. Burks - E. Fournier - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,33,16,17,0.485,434.0,113.8,113.7,113.6,113.7,0.2,0.0,0.551,1.65,16.1,0.329,0.781,0.543,0.136,0.533,0.565,98.9,98.88,82.4,896,0.483,10,18,17379,8980,6,6274,10415,7341,7879,3726,7876,5846,6950,5930,10476,7009,7624,8475,A. Burks,E. Fournier,J. Randle,M. Robinson,R. Barrett,3,3,1,5,3
Lineups, -202689-203095-203944-1629011-1629628-, K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,24,11,13,0.458,428.0,101.9,102.8,116.3,116.6,-14.4,-13.8,0.55,1.47,15.5,0.26,0.749,0.492,0.142,0.503,0.525,97.7,97.2,81.0,866,0.411,24,59,17365,8989,7,7429,10706,10284,7881,4225,8072,6668,8084,9240,10601,7315,8681,9831,K. Walker,E. Fournier,J. Randle,M. Robinson,R. Barrett,3,3,1,5,3
Lineups, -1628964-1628976-1630175-1630532-1630591-, M. Bamba - W. Carter Jr. - C. Anthony - F. Wagner - J. Suggs,1610612753,ORL,34,13,21,0.382,424.0,101.6,102.0,102.1,103.2,-0.5,-1.1,0.586,1.42,16.7,0.28,0.75,0.53,0.16,0.505,0.535,101.3,100.55,83.79,887,0.513,8,38,17383,9222,8,7461,9314,9246,7459,4271,7764,6436,8083,6181,11549,7313,8365,7717,M. Bamba,W. Carter Jr.,C. Anthony,F. Wagner,J. Suggs,5,5,3,3,6
Lineups, -200768-200782-202710-1628389-1629130-, K. Lowry - P. Tucker - J. Butler - B. Adebayo - D. Robinson,1610612748,MIA,30,20,10,0.667,423.0,110.6,111.2,97.9,98.7,12.7,12.5,0.661,2.11,19.6,0.242,0.77,0.515,0.129,0.537,0.573,95.9,95.21,79.34,840,0.578,12,10,17335,6286,9,6548,7040,6320,6528,2205,5676,7538,7137,6502,10236,6936,7306,6464,K. Lowry,P. Tucker,J. Butler,B. Adebayo,D. Robinson,1,0,1,5,0
Lineups, -202330-203486-1626179-1628970-1630163-, G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball,1610612766,CHO,31,16,15,0.516,373.0,106.3,105.5,108.7,107.8,-2.4,-2.3,0.668,2.27,19.8,0.23,0.755,0.479,0.122,0.528,0.543,103.3,104.16,86.8,814,0.482,11,18,17375,7219,10,7251,9709,9304,5426,2090,5646,7671,7265,9432,9745,7097,8208,8484,G. Hayward,M. Plumlee,T. Rozier,M. Bridges,L. Ball,3,5,3,3,1
Lineups, -203493-203939-1627827-1628973-1629029-, R. Bullock - D. Powell - D. Finney-Smith - J. Brunson - L. Doncic,1610612742,DAL,40,30,10,0.75,367.0,126.9,125.9,111.5,111.8,15.4,14.1,0.564,2.09,18.8,0.234,0.733,0.503,0.122,0.631,0.658,94.2,94.48,78.73,723,0.56,4,2,17335,5984,11,4585,10197,6215,7742,2214,5934,7613,8208,6612,9747,4705,5082,6771,R. Bullock,D. Powell,D. Finney-Smith,J. Brunson,L. Doncic,0,5,3,3,1
Lineups, -201569-1626174-1629645-1630224-1630256-, E. Gordon - C. Wood - K. Porter Jr. - J. Green - J. Tate,1610612745,HOU,27,10,17,0.37,352.0,109.4,110.4,110.3,110.2,-0.9,0.2,0.589,1.73,17.4,0.246,0.729,0.49,0.136,0.549,0.575,102.2,101.8,84.83,748,0.492,18,78,17379,9249,12,6696,9999,7333,7441,3570,6748,7521,8232,9269,10477,6706,7263,8329,E. Gordon,C. Wood,K. Porter Jr.,J. Green,J. Tate,3,5,3,3,3
Lineups, -201939-203110-203952-1626172-1629673-, S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole,1610612744,GSW,29,23,6,0.793,347.0,110.6,112.2,103.1,104.0,7.5,8.2,0.729,1.73,21.3,0.283,0.769,0.538,0.177,0.575,0.596,104.1,102.97,85.81,739,0.545,15,8,17121,5964,13,6469,9384,6801,4972,3571,4305,6424,7189,6073,12374,6062,6659,7103,S. Curry,D. Green,A. Wiggins,K. Looney,J. Poole,1,1,3,5,3
Lineups, -202685-1627742-1628404-1628984-1630529-, J. Valanciunas - B. Ingram - J. Hart - D. Graham - H. Jones,1610612740,NOP,22,13,9,0.591,345.0,112.4,113.9,102.8,101.1,9.6,12.8,0.644,2.13,19.5,0.257,0.81,0.535,0.128,0.538,0.577,97.9,98.07,81.72,698,0.555,33,38,17307,7090,14,6261,9211,6307,6599,2196,5697,6685,6314,6106,10216,6922,7234,6912,J. Valanciunas,B. Ingram,J. Hart,D. Graham,H. Jones,5,1,3,3,3
Lineups, -1627783-1627832-1628384-1629018-1630567-, P. Siakam - F. VanVleet - O. Anunoby - G. Trent Jr. - S. Barnes,1610612761,TOR,21,15,6,0.714,345.0,109.1,107.4,106.3,106.8,2.8,0.5,0.576,1.79,17.0,0.226,0.693,0.455,0.127,0.53,0.564,99.2,99.74,83.11,718,0.488,39,22,17121,6222,15,7060,9619,7318,7549,3476,6898,7689,8826,9904,10205,7049,7634,8390,P. Siakam,F. VanVleet,O. Anunoby,G. Trent Jr.,S. Barnes,1,1,3,3,5
